J5,60,slow
I5,22,fast
H5,24,fast
H6,80,slow
h7,14,fast
h8,59,fast
h9,6,fast
h10,63,fast
h11,1,slow
g12,30,slow
f12,70,slow
g11,100,slow
g10,8,slow
g9,4,fast
g7,64,slow
g5,40,slow
h4,60,slow
g4,79,slow
f4,58,slow
f5,3,slow
f6,58,slow
f8,70,slow
f11,2,slow
